source,target,estimated_trips
BLR,RUS,686487
IDN,KOR,682250
KOR,IDN,682250
ROU,TUR,681100
TUR,ROU,681100
GBR,SGP,677607
SGP,GBR,677607
GRC,BEL,676287
BRA,ITA,675776
ITA,BRA,675776
IRL,NLD,675633
VNM,USA,671138
ARG,BOL,668119
BOL,ARG,668119
SGP,USA,666410
USA,SGP,666410
RUS,BLR,665656
FRA,JPN,664492
JPN,FRA,664492
MDA,RUS,663387
PHL,ARE,654677
ZAF,GBR,654187
ARE,PHL,652934
ARE,USA,652736
GBR,MEX,651358
MEX,GBR,651358
LBN,ARE,649567
ARE,LBN,647876
CAN,DEU,646149
DEU,CAN,646149
RUS,FRA,645663
FRA,RUS,644676
NLD,AUT,642309
GBR,ZAF,641888
AUT,NLD,641528
IRL,PRT,640350
ISR,FRA,638805
ISR,RUS,638379
CHL,COL,637644
AUS,IND,637541
USA,ARE,635423
DNK,NLD,635161
FRA,CZE,634789
CZE,FRA,634020
RWA,UGA,633438
UGA,RWA,633438
RUS,ISR,632944
FRA,ISR,632477
PRT,IRL,632376
IRQ,ARE,631969
VNM,HKG,631353
NLD,DNK,630948
HKG,VNM,630156
MEX,COL,629895
NLD,POL,629181
CHN,LAO,629096
LAO,CHN,629096
USA,HND,628274
POL,NLD,627704
RUS,TUN,626908
TUN,RUS,626908
ARE,IRQ,625125
COL,MEX,623431
ITA,SVN,623389
SVN,ITA,623389
RUS,MDA,619197
PRT,USA,617153
USA,PRT,617153
BGR,RUS,616407
RUS,BGR,616407
CRI,NIC,616070
NIC,CRI,616070
GBR,ISR,615889
BEL,CHE,615139
EST,RUS,615119
RUS,EST,615119
CZE,USA,614680
USA,CZE,614680
CHE,BEL,612865
MAC,THA,609774
HND,USA,609751
ISR,GBR,608177
MNG,RUS,606091
RUS,MNG,606091
THA,MAC,600119
BGR,MKD,599347
MKD,BGR,599347
IND,CAN,595098
GRC,NLD,591927
AUT,BEL,590260
BEL,AUT,590260
ALB,MKD,587623
MKD,ALB,587623
COL,CHL,584640
GBR,MYS,583732
MYS,GBR,583732
CZE,RUS,583652
NZL,USA,583258
USA,NZL,583258
RUS,CZE,582068
IND,AUS,582036
FRA,NOR,580591
CHL,USA,577137
CAN,JPN,576939
JPN,CAN,576939
NOR,FRA,576592
BEL,USA,575508
USA,BEL,575508
CZE,ESP,575433
CHN,ARE,573537
MYS,PHL,573211
NOR,USA,572520
USA,NOR,572520
ITA,ISR,572125
NLD,GRC,570358
PHL,MYS,567513
USA,ISL,565724
USA,CHL,562891
ESP,CZE,561259
ISR,ITA,560853
ESP,DZA,560513
DZA,ESP,559485
ISL,USA,556997
NAM,ZAF,556708
ZAF,NAM,556708
GBR,LVA,556130
ITA,SVK,556024
SVK,ITA,556024
ESP,JPN,555269
JPN,ESP,555269
GHA,NGA,554128
LVA,GBR,553100
IND,HKG,549922
IND,NPL,549593
GBR,EGY,548398
NGA,GHA,548221
TUR,USA,548102
USA,TUR,548102
POL,ROU,547680
ROU,POL,547680
EGY,GBR,545906
CHN,NZL,545039
NZL,CHN,545039
DEU,MAR,544909
NPL,IND,544540
THA,FRA,544023
BGD,IND,541110
USA,CYM,540751
GBR,JPN,538281
JPN,GBR,538281
BGD,MYS,538237
MYS,BGD,537466
USA,RUS,537258
CYM,USA,536365
ARE,CHN,533484
MAR,DEU,532626
FRA,THA,531050
GBR,FIN,527861
USA,PAN,527684
AUT,GRC,525797
ZMB,ZWE,524962
ZWE,ZMB,524962
FJI,AUS,524409
HKG,IND,523867
GBR,SVK,523532
ITA,JPN,523130
JPN,ITA,523130
NOR,NLD,522492
PAN,USA,522226
BOL,CHL,522177
CHL,BOL,522177
FIN,GBR,522057
HRV,HUN,521896
HUN,HRV,521896
AUS,FJI,520681
NLD,NOR,520657
BRA,ESP,520605
ESP,BRA,520605
IRN,IRQ,520519
RUS,USA,520006
BRA,PRY,519660
PRY,BRA,519660
IRQ,IRN,518713
SVK,GBR,517733
AUS,DEU,517364
DEU,AUS,517364
IND,BGD,517333
GRC,AUT,513545
DEU,LVA,512581
LVA,DEU,512581
ESP,ARG,511438
TCA,USA,511266
MEX,CUB,510387
USA,TCA,510350
BGR,HUN,510211
HUN,BGR,510211
MWI,ZWE,509309
ZWE,MWI,509309
IND,DEU,509191
CUB,MEX,507145
DEU,IND,504228
JAM,CAN,502675
ARG,ESP,501306
USA,NIC,498863
ESP,HUN,498595
CAN,JAM,498447
ESP,GRC,498135
ESP,ISR,498076
TTO,USA,497849
USA,TTO,497073
IRQ,LBN,495126
NIC,USA,494316
SAU,LBN,494030
GRC,ESP,493475
ISR,ESP,491535
BGR,POL,490833
POL,BGR,490833
BRA,DEU,488363
DEU,BRA,488363
COL,ECU,485989
ECU,COL,485989
BEL,POL,485846
AUS,CAN,485557
CAN,AUS,485557
POL,BEL,485499
LBN,SAU,483720
LBN,IRQ,482582
DNK,FIN,481726
HUN,ESP,480079
GRC,CZE,478126
GBR,RUS,477978
SAU,GBR,477855
RUS,GBR,474529
CAN,ESP,474172
ESP,CAN,474172
FIN,DNK,472607
RUS,VNM,470278
VNM,RUS,470278
CAN,HKG,466141
ECU,PER,465773
PER,ECU,465773
BEL,TUR,464462
TUR,BEL,464462
SVK,UKR,463358
UKR,SVK,463358
AUT,SVN,462860
SVN,AUT,462860
SAU,MYS,459015
IDN,IND,457129
IND,IDN,457129
ESP,TUR,456278
CZE,GRC,455870
GBR,SAU,455128
USA,ZAF,455027
ZAF,USA,455027
COL,PAN,453890
MYS,SAU,453366
TUR,ESP,452296
ITA,NOR,448251
BGR,ITA,447933
ITA,BGR,447312
ARE,RUS,447207
SGP,MMR,445946
MMR,SGP,444588
COL,VEN,444206
VEN,COL,444206
HKG,CAN,441570
RUS,ARE,441173
NOR,ITA,439183
DNK,CHE,438754
AUT,ROU,437226
ROU,AUT,437226
AUS,KOR,436479
KOR,AUS,436479
NLD,SWE,435809
ARE,ITA,434513
BIH,ITA,434226
ITA,BIH,434226
GBR,NZL,433592
NZL,GBR,433592
TUR,ARE,433111
EGY,UKR,431730
UKR,EGY,431730
SWE,NLD,431522
USA,NGA,430810
DEU,KOR,430662
KOR,DEU,430662
ARE,TUR,430389
QAT,EGY,430274
BMU,USA,429711
CHE,DNK,427914
UKR,ISR,426445
CHE,SWE,425801
PAN,COL,425305
USA,BMU,425140
NGA,USA,424941
ISR,UKR,423976
DEU,LUX,423926
LUX,DEU,423926
ITA,ARE,420252
CAN,KOR,420187
KOR,CAN,420187
BIH,HRV,419093
HRV,BIH,419093
NGA,GBR,418884
DEU,UKR,418491
SWE,CHE,416270
AUT,DNK,415119
DNK,AUT,415119
PHL,THA,414453
FRA,HUN,413903
IDN,USA,413893
USA,IDN,413893
HUN,FRA,413561
UKR,DEU,413508
COL,ESP,412313
HRV,SVK,409874
SVK,HRV,409874
TUR,DZA,409236
KOR,KHM,409222
DZA,TUR,407722
THA,PHL,405872
GBR,NGA,405699
EGY,QAT,405438
IRL,BEL,404978
GBR,IDN,404022
IDN,GBR,404022
DEU,SVN,403780
SVN,DEU,403780
AGO,NAM,403376
NAM,AGO,403376
BEL,DNK,403297
BEL,IRL,403041
GBR,LUX,402251
ESP,CHN,402169
BRA,MEX,402048
MEX,BRA,402048
NPL,ARE,401823
EGY,JOR,400223
JPN,MAC,399961
MAC,JPN,399961
LTU,RUS,399741
RUS,LTU,399741
ESP,COL,398124
NLD,HUN,397901
DNK,BEL,397525
CHN,ESP,395776
KOR,RUS,395240
RUS,KOR,395240
HUN,NLD,394743
LUX,GBR,392868
FRA,IND,392277
IND,ITA,391928
MEX,ARG,391545
AUS,VNM,390038
VNM,AUS,390038
BRA,GBR,389316
GBR,BRA,389316
CHN,CZE,388531
CZE,CHN,388531
DEU,ZAF,388478
ZAF,DEU,388478
KHM,KOR,387196
HRV,KOR,386412
KOR,HRV,386412
KHM,LAO,385871
LAO,KHM,385871
ARE,LKA,383809
ARG,MEX,380544
BGR,UKR,380035
UKR,BGR,380035
EGY,ITA,379519
ARE,NPL,378965
ITA,EGY,378772
LKA,ARE,378627
GIB,GBR,376595
GBR,GIB,376231
DOM,DEU,375939
JOR,EGY,375931
MYS,KHM,373624
KWT,TUR,372386
DEU,TUN,371320
DNK,POL,370323
POL,DNK,370323
TUR,KWT,369152
ISR,TUR,368542
ITA,IND,368538
TUR,ISR,368195
OMN,PAK,367606
KHM,MYS,365710
CZE,NLD,365705
DEU,DOM,365385
PAN,VEN,364100
CHE,POL,364063
BRA,FRA,363692
DEU,MEX,362755
MEX,DEU,362755
BLZ,USA,359693
AUS,PHL,359666
SDN,ARE,359501
CAN,PHL,359039
TZA,KEN,358612
HRV,USA,358585
USA,HRV,358585
PHL,AUS,358248
MAR,NLD,357981
MDA,ITA,357693
VEN,PAN,357528
FRA,SEN,356817
ARE,FRA,356789
IND,FRA,356563
FRA,BRA,356441
LBN,TUR,356407
NLD,CZE,356079
BHR,IND,355659
ITA,FIN,355474
TUN,DEU,355384
ITA,MDA,355192
USA,PAK,354899
IND,BHR,354472
ARE,SDN,354356
POL,CHE,353399
CHE,RUS,352886
FRA,ROU,352126
CUB,USA,352002
USA,CUB,352002
USA,BLZ,351912
NLD,MAR,351880
RUS,CHE,351616
CHN,NOR,351310
NOR,CHN,351310
SEN,FRA,351077
JPN,IND,350754
PAK,OMN,350460
TUR,LBN,349928
ROU,FRA,349657
GRC,TUR,347790
FRA,ARE,346367
HRV,FRA,346290
AUS,ARE,345847
FRA,HRV,345654
HUN,CHE,344480
IDN,PHL,343258
PHL,IDN,343258
OMN,BGD,343227
TUR,GRC,343049
CHN,KAZ,342871
KAZ,CHN,342871
IND,JPN,342517
ARE,AUS,342512
KOR,ITA,342097
FIN,ITA,339566
KEN,TZA,338732
ARE,THA,337587
BEL,HUN,336153
CZE,KOR,336122
KOR,CZE,336122
ISR,NLD,335630
AFG,ARE,334606
GBR,KOR,333198
KOR,GBR,333198
MAR,SAU,332954
SAU,MAR,332954
NLD,ISR,332293
CHN,MDV,332038
MDV,CHN,332038
CHN,LKA,331905
LKA,CHN,331905
COL,PER,329809
PER,COL,329809
KAZ,TUR,329755
TUR,KAZ,329755
ARE,AFG,328619
EGY,SDN,327198
THA,ARE,325528
DEU,SVK,325508
SVK,DEU,325508
HUN,BEL,324365
PHL,CAN,323701
SGP,KHM,323560
ITA,TUN,322404
AUT,RUS,321394
RUS,AUT,321394
BEL,LUX,320785
LUX,BEL,320785
MLT,DEU,320101
PRT,LUX,319939
ESP,LUX,318416
PAK,USA,318031
LUX,PRT,317632
BRA,COL,317044
COL,BRA,317044
DEU,MLT,316614
CHE,KOR,314665
KOR,CHE,314665
ITA,MEX,314308
MEX,ITA,314308
BOL,PER,313722
PER,BOL,313722
DEU,ISL,312746
LUX,ESP,311613
ISL,DEU,311157
AGO,PRT,310722
BRB,USA,310486
KHM,SGP,309634
ARG,CAN,309180
CAN,ARG,309180
CHE,IRL,309075
IRL,CHE,308632
FIN,FRA,308311
TUR,DNK,307364
GRC,SWE,307248
IND,KOR,306987
KOR,IND,306987
USA,BRB,306276
LBN,JOR,306000
SWE,HUN,305979
SDN,EGY,304670
FRA,KOR,303446
HUN,SWE,302417
USA,EGY,301375
MAC,VNM,300933
PRT,AGO,300264
JOR,LBN,299317
AUT,SVK,299250
SVK,AUT,299250
CRI,MEX,299019
UKR,ITA,298339
FRA,FIN,297640
TUN,ITA,297169
MAC,PHL,296263
PHL,MAC,296263
MEX,CRI,295896
MYS,USA,295781
USA,MYS,295781
MDV,LKA,295706
CHE,HUN,294999
CHE,THA,294869
SWE,GRC,294640
PAN,CRI,294637
FRA,MUS,293670
ITA,THA,292575
IRN,DEU,292371
CAN,NLD,292258
DEU,LTU,292256
ESP,BGR,290072
DOM,VEN,289160
LTU,DEU,289062
KOR,FRA,288377
BGR,ESP,288171
IND,RUS,287060
RUS,IND,287060
MUS,FRA,286955
VEN,DOM,286104
THA,ITA,285681
AUT,BGR,285128
BGR,AUT,285128
AUT,KOR,284719
KOR,AUT,284719
